method,condition,gatekeeper_mode,gatekeeper_horizon,gatekeeper_top_k,gatekeeper_alpha_max_weight,gatekeeper_alpha_sum_weight,gatekeeper_omega_max_weight,gatekeeper_omega_sum_weight,gatekeeper_delta_r_weight,gatekeeper_force_weight,solver_safety_mode,alpha_constraint_mode,alpha_soft_weight,target_reached,final_theta_deg,T_reach,done_reason,gatekeeper_intervention_count,gatekeeper_decision_count,gatekeeper_intervention_rate,gatekeeper_selected_rank_mean,gatekeeper_selected_rank_max,nominal_safety_score_mean,selected_safety_score_mean,nominal_alpha_max_mean,selected_alpha_max_mean,nominal_alpha_sum_mean,selected_alpha_sum_mean,nominal_omega_max_mean,selected_omega_max_mean,nominal_omega_sum_mean,selected_omega_sum_mean,nominal_task_cost_mean,selected_task_cost_mean,alpha_violation_count,alpha_mean_severity,alpha_p95_severity,alpha_max_severity,omega_violation_count,omega_mean_severity,omega_p95_severity,omega_max_severity,delta_r_violation_count,delta_r_mean_severity,delta_r_max_severity,delta_r_p95_severity,F_tan_violation_count,F_rad_violation_count,mean_action_magnitude,max_action_magnitude,action_smoothness,runtime_s
baseline_cem,clean,off,0,20,4.0,4.0,4.0,4.0,1.0,1.0,off,soft,1.0,True,90.14631852620893,2.06,target_reached,0,69,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,84,0.9707977436361845,5.190370737879354,6.4377998728048755,17,0.021314290471390853,0.2095827413663774,0.4265414427484995,0,0.0,0.0,0.0,0,0,3.9476771941154825,7.953676678512168,0.20497280707735124,34.80564129189588
baseline_cem,noise,off,0,20,4.0,4.0,4.0,4.0,1.0,1.0,off,soft,1.0,True,90.21661702349557,1.8000000000000014,target_reached,0,60,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,66,1.0121832361354404,4.652838501469261,7.694412413161114,16,0.024626794101253274,0.2657679427625952,0.44323048717652824,0,0.0,0.0,0.0,0,0,4.135895989672286,7.839479180319609,0.2065864296509824,30.475571624934673
baseline_cem,noise_bias,off,0,20,4.0,4.0,4.0,4.0,1.0,1.0,off,soft,1.0,True,90.01365991496137,2.1899999999999973,target_reached,0,73,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,90,1.0417673384874,4.4539534690138245,7.789745762859031,22,0.022813001406889397,0.20869699709417136,0.44958339026767513,0,0.0,0.0,0.0,0,0,3.8927163390804527,8.232650339736571,0.2055945477809949,37.078797874972224
alpha100_omega0,clean,off,0,20,4.0,4.0,4.0,4.0,1.0,1.0,soft_penalty,soft,100.0,True,90.01330081092338,1.9800000000000015,target_reached,0,66,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,64,0.9857485354022764,6.083357683682723,7.896744286389515,22,0.03384799525175945,0.3469592700227373,0.480062211413689,0,0.0,0.0,0.0,0,0,3.7404367292113716,8.465669052466604,0.20044955850419865,33.44878220802639
alpha100_omega0,noise,off,0,20,4.0,4.0,4.0,4.0,1.0,1.0,soft_penalty,soft,100.0,True,90.12119185770305,1.9300000000000015,target_reached,0,65,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,81,1.0773274307492755,5.242512594040663,8.332585279924945,21,0.03212047705718097,0.3267617354998096,0.47217706960978867,0,0.0,0.0,0.0,0,0,4.013675978787356,8.520423978842475,0.22639274525786146,33.04001454205718
alpha100_omega0,noise_bias,off,0,20,4.0,4.0,4.0,4.0,1.0,1.0,soft_penalty,soft,100.0,True,90.25357110919407,1.8900000000000015,target_reached,0,63,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,64,0.9359740135066569,4.542409150657966,8.785466113021581,20,0.029798785013814864,0.3113403373238287,0.44940348563491606,0,0.0,0.0,0.0,0,0,3.9443203725638276,8.562087294258037,0.19965172347902807,32.0004660829436
alpha200_omega0,clean,off,0,20,4.0,4.0,4.0,4.0,1.0,1.0,soft_penalty,soft,200.0,True,90.00098337303204,3.139999999999977,target_reached,0,105,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,73,0.6460521111996569,4.1734507206065246,7.896744286389515,22,0.021383336682857558,0.20220498436934536,0.480062211413689,0,0.0,0.0,0.0,0,0,2.696212978282421,8.465669052466604,0.12631877022118357,53.515260249958374
alpha200_omega0,noise,off,0,20,4.0,4.0,4.0,4.0,1.0,1.0,soft_penalty,soft,200.0,True,90.07711562108182,1.9700000000000015,target_reached,0,66,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,69,0.9908884848349083,5.9045350889246775,8.332585285676599,21,0.03147157919580895,0.3193133443107155,0.472177078601661,0,0.0,0.0,0.0,0,0,3.8527677536791773,8.52042398041967,0.2028500649195839,33.48156387510244
alpha200_omega0,noise_bias,off,0,20,4.0,4.0,4.0,4.0,1.0,1.0,soft_penalty,soft,200.0,True,90.12817354620306,1.8900000000000015,target_reached,0,63,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,72,1.1475535896496232,5.647811314554774,6.796319889508748,25,0.02283104256986217,0.20353904521671282,0.44796378434767625,0,0.0,0.0,0.0,0,0,4.120231800315714,8.127035660368447,0.2070678338980057,31.93468499998562
gatekeeper_H3,clean,candidate_select,3,20,4.0,4.0,4.0,4.0,1.0,1.0,off,soft,1.0,True,90.08033802617064,2.3699999999999934,target_reached,39,79,0.4936708860759494,4.253164556962025,19.0,67.8033734990767,43.720148338939715,5.953871296225117,4.28045223003676,10.962389919062081,6.613662450555403,0.013228067985375336,0.01357006971957595,0.021354091496600548,0.022352334423190456,41242.71575562107,109832.51816387696,104,1.06910400859671,5.0381177268199915,6.602088806369869,17,0.004854786228215772,0.028135788382646007,0.14350631974733097,0,0.0,0.0,0.0,0,0,4.695884452926588,8.02339084473242,0.2453402427993283,39.97702162491623
gatekeeper_H3,noise,candidate_select,3,20,4.0,4.0,4.0,4.0,1.0,1.0,off,soft,1.0,True,90.37950910346697,2.429999999999992,target_reached,51,81,0.6296296296296297,5.530864197530864,19.0,67.39958004079499,41.7349395496263,6.007992187216526,3.9442871669576607,10.833794134523771,6.489051193741513,0.0027475912089657906,0.00019826335369920787,0.005361097249485105,0.00019826335369920787,41763.16184686377,125003.61794275153,116,1.0520489267143407,4.432428718248185,6.649434657182059,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,5.086977807091006,7.809126125914313,0.26309693082150176,41.04517525003757
gatekeeper_H3,noise_bias,candidate_select,3,20,4.0,4.0,4.0,4.0,1.0,1.0,off,soft,1.0,True,90.22018250573439,4.149999999999956,target_reached,81,139,0.5827338129496403,4.848920863309353,19.0,96.07792527438694,51.83369439502104,7.919005197250556,5.0080914473338725,16.022220740148136,7.934491079920268,0.03488292444847667,0.006284209663446768,0.043372456749564414,0.00955686183766901,62840.13027505767,133666.89008224377,228,1.5475464081154466,5.926894360183454,15.030734346494182,8,0.0007876566475011956,0.0,0.07918466656904144,0,0.0,0.0,0.0,0,0,5.0804316434444505,8.795053219666418,0.3089865848724882,69.83405016607139
alpha_tail_gatekeeper_w10,clean,candidate_select,3,20,10.0,10.0,5.0,1.0,5.0,5.0,off,soft,1.0,True,90.08033802617064,2.3699999999999934,target_reached,39,79,0.4936708860759494,4.253164556962025,19.0,169.25010658429545,109.03134948894268,5.953871296225117,4.28045223003676,10.962389919062081,6.613662450555403,0.013228067985375336,0.01357006971957595,0.021354091496600548,0.022352334423190456,41242.71575562107,109832.51816387696,104,1.06910400859671,5.0381177268199915,6.602088806369869,17,0.004854786228215772,0.028135788382646007,0.14350631974733097,0,0.0,0.0,0.0,0,0,4.695884452926588,8.02339084473242,0.2453402427993283,39.932704749982804
alpha_tail_gatekeeper_w10,noise,candidate_select,3,20,10.0,10.0,5.0,1.0,5.0,5.0,off,soft,1.0,True,90.37950910346697,2.429999999999992,target_reached,51,81,0.6296296296296297,5.530864197530864,19.0,168.43696227069728,104.33457318711395,6.007992187216526,3.9442871669576607,10.833794134523771,6.489051193741513,0.0027475912089657906,0.00019826335369920787,0.005361097249485105,0.00019826335369920787,41763.16184686377,125003.61794275153,116,1.0520489267143407,4.432428718248185,6.649434657182059,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,5.086977807091006,7.809126125914313,0.26309693082150176,40.97324833297171
alpha_tail_gatekeeper_w10,noise_bias,candidate_select,3,20,10.0,10.0,5.0,1.0,5.0,5.0,off,soft,1.0,True,90.22018250573439,4.149999999999956,target_reached,81,139,0.5827338129496403,4.848920863309353,19.0,239.63004645297886,129.4668031826963,7.919005197250556,5.0080914473338725,16.022220740148136,7.934491079920268,0.03488292444847667,0.006284209663446768,0.043372456749564414,0.00955686183766901,62840.13027505767,133666.89008224377,228,1.5475464081154466,5.926894360183454,15.030734346494182,8,0.0007876566475011956,0.0,0.07918466656904144,0,0.0,0.0,0.0,0,0,5.0804316434444505,8.795053219666418,0.3089865848724882,69.7553217500681
alpha_tail_gatekeeper_w50,clean,candidate_select,3,20,50.0,10.0,5.0,1.0,5.0,5.0,off,soft,1.0,True,90.40926047382801,3.8099999999999627,target_reached,83,127,0.6535433070866141,5.590551181102362,19.0,646.988680473298,311.68876889671077,9.19816845554975,4.562446756595554,18.690454603537443,8.356620569217077,0.028807070355373995,3.7562460383089945e-05,0.03167630865931906,3.7562460383089945e-05,58496.14865543389,138415.6091615096,190,1.5411938973544195,6.36911664377985,10.24782465884452,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,5.5804678721889145,8.280678886317524,0.32690899324948547,63.672594249947
alpha_tail_gatekeeper_w50,noise,candidate_select,3,20,50.0,10.0,5.0,1.0,5.0,5.0,off,soft,1.0,True,90.13819411467222,3.2999999999999736,target_reached,64,110,0.5818181818181818,4.245454545454545,19.0,558.6251134859511,316.78201260380786,8.068001485228095,4.709181904479961,15.491197697982056,8.122806801129276,0.04624304472382215,0.014570476247129923,0.08184702110681157,0.021996987281416323,56123.74790543933,126315.52607154539,148,1.5098342476843372,7.036922824132245,13.22186483825243,26,0.003614442102923465,0.03174412912378233,0.12162870292125216,0,0.0,0.0,0.0,0,0,4.876391329597225,8.755821566680465,0.32124131549182156,55.425170958042145
alpha_tail_gatekeeper_w50,noise_bias,candidate_select,3,20,50.0,10.0,5.0,1.0,5.0,5.0,off,soft,1.0,True,90.01218408110532,3.759999999999964,target_reached,62,126,0.49206349206349204,4.261904761904762,18.0,506.0858319766185,295.2721298528755,7.28362183493231,4.401338968200052,14.168255317455634,7.509858474381822,0.03367179293655874,0.015245329779136396,0.05382809076383713,0.030370050158917455,56737.31841939355,118801.70350840471,176,1.3601799072327134,6.256872207241011,8.826998711146214,33,0.013499603442920447,0.14497410029704336,0.2526942208690408,0,0.0,0.0,0.0,0,0,4.878687995823191,8.282738617950006,0.2707611757502848,63.403659958043136
alpha_tail_gatekeeper_w100,clean,candidate_select,3,20,100.0,10.0,5.0,1.0,5.0,5.0,off,soft,1.0,True,90.0627192183113,3.5799999999999677,target_reached,82,120,0.6833333333333333,5.791666666666667,19.0,1152.4147255902665,547.3327223229888,9.577518408902089,4.624435016818797,19.43677634693922,8.4773023781072,0.04635667289546304,0.016077515619391133,0.06333786618772361,0.03580928194023776,59497.16574608758,142752.7054629894,186,1.6656083761152896,6.4253544302166645,10.24782465884452,31,0.014298611353137008,0.14612942083373842,0.28916898697308424,0,0.0,0.0,0.0,0,0,5.6798917622883165,8.280678886317524,0.34581895409683905,60.029475541901775
alpha_tail_gatekeeper_w100,noise,candidate_select,3,20,100.0,10.0,5.0,1.0,5.0,5.0,off,soft,1.0,True,90.02528463565883,2.629999999999988,target_reached,56,88,0.6363636363636364,5.715909090909091,19.0,1028.5902102163845,566.8146897068237,8.573345835852416,4.801363885981144,17.092145581655,8.64922690129969,0.05107371333112612,0.027458468486442542,0.07880224793722265,0.04873975328031279,55557.00449432267,138520.6105144671,135,1.6914443767978493,7.048162908320546,10.739223801813404,38,0.014745277955031928,0.13453033268183276,0.18301737955005692,0,0.0,0.0,0.0,0,0,5.180080844158351,8.242540258633042,0.3298818534980076,44.272475124918856
alpha_tail_gatekeeper_w100,noise_bias,candidate_select,3,20,100.0,10.0,5.0,1.0,5.0,5.0,off,soft,1.0,True,90.22545928496667,3.419999999999971,target_reached,72,114,0.631578947368421,5.43859649122807,19.0,1015.6667516747096,581.6109949954952,8.448765518374499,4.9315163482714,17.048192812464624,8.837971691210935,0.04735284454802281,0.012307333455026723,0.07150748987333783,0.018106588970581976,64270.38623949247,143505.14137592152,182,1.599820385958017,6.15661873893485,8.826998711146214,17,0.0023831193449369405,0.0,0.16696720926909725,0,0.0,0.0,0.0,0,0,5.1018887608253065,8.051853916936388,0.30862257303574764,57.251637208042666
