method,condition,progress_governor_mode,gatekeeper_mode,solver_safety_mode,alpha_constraint_mode,alpha_soft_weight,target_reached,final_theta_deg,T_reach,done_reason,theta_cmd_final_deg,selected_command_rate_mean,selected_command_rate_max,hold_count,decision_count,hold_rate,governor_safety_score_mean,governor_pred_alpha_max_mean,governor_pred_alpha_sum_mean,governor_pred_omega_max_mean,governor_pred_omega_sum_mean,alpha_violation_count,alpha_mean_severity,alpha_p95_severity,alpha_max_severity,omega_violation_count,omega_mean_severity,omega_p95_severity,omega_max_severity,delta_r_violation_count,delta_r_mean_severity,delta_r_max_severity,delta_r_p95_severity,F_tan_violation_count,F_rad_violation_count,mean_action_magnitude,max_action_magnitude,action_smoothness,runtime_s
baseline_cem,clean,off,off,off,soft,1.0,True,90.14631852620893,2.06,target_reached,89.99999999971945,nan,nan,0,69,0.0,nan,nan,nan,nan,nan,84,0.9707977436361845,5.190370737879354,6.4377998728048755,17,0.021314290471390853,0.2095827413663774,0.4265414427484995,0,0.0,0.0,0.0,0,0,3.9476771941154825,7.953676678512168,0.20497280707735124,34.863895041984506
baseline_cem,noise,off,off,off,soft,1.0,True,90.21661702349557,1.8000000000000014,target_reached,89.99999999971945,nan,nan,0,60,0.0,nan,nan,nan,nan,nan,66,1.0121832361354404,4.652838501469261,7.694412413161114,16,0.024626794101253274,0.2657679427625952,0.44323048717652824,0,0.0,0.0,0.0,0,0,4.135895989672286,7.839479180319609,0.2065864296509824,30.89411087508779
baseline_cem,noise_bias,off,off,off,soft,1.0,True,90.01365991496137,2.1899999999999973,target_reached,89.99999999971945,nan,nan,0,73,0.0,nan,nan,nan,nan,nan,90,1.0417673384874,4.4539534690138245,7.789745762859031,22,0.022813001406889397,0.20869699709417136,0.44958339026767513,0,0.0,0.0,0.0,0,0,3.8927163390804527,8.232650339736571,0.2055945477809949,37.395530791953206
alpha100_omega0,clean,off,off,soft_penalty,soft,100.0,True,90.01330081092338,1.9800000000000015,target_reached,89.99999999971945,nan,nan,0,66,0.0,nan,nan,nan,nan,nan,64,0.9857485354022764,6.083357683682723,7.896744286389515,22,0.03384799525175945,0.3469592700227373,0.480062211413689,0,0.0,0.0,0.0,0,0,3.7404367292113716,8.465669052466604,0.20044955850419865,33.897527749999426
alpha100_omega0,noise,off,off,soft_penalty,soft,100.0,True,90.12119185770305,1.9300000000000015,target_reached,89.99999999971945,nan,nan,0,65,0.0,nan,nan,nan,nan,nan,81,1.0773274307492755,5.242512594040663,8.332585279924945,21,0.03212047705718097,0.3267617354998096,0.47217706960978867,0,0.0,0.0,0.0,0,0,4.013675978787356,8.520423978842475,0.22639274525786146,33.408979082945734
alpha100_omega0,noise_bias,off,off,soft_penalty,soft,100.0,True,90.25357110919407,1.8900000000000015,target_reached,89.99999999971945,nan,nan,0,63,0.0,nan,nan,nan,nan,nan,64,0.9359740135066569,4.542409150657966,8.785466113021581,20,0.029798785013814864,0.3113403373238287,0.44940348563491606,0,0.0,0.0,0.0,0,0,3.9443203725638276,8.562087294258037,0.19965172347902807,32.441088875057176
alpha200_omega0,clean,off,off,soft_penalty,soft,200.0,True,90.00098337303204,3.139999999999977,target_reached,89.99999999971945,nan,nan,0,105,0.0,nan,nan,nan,nan,nan,73,0.6460521111996569,4.1734507206065246,7.896744286389515,22,0.021383336682857558,0.20220498436934536,0.480062211413689,0,0.0,0.0,0.0,0,0,2.696212978282421,8.465669052466604,0.12631877022118357,54.1451535000233
alpha200_omega0,noise,off,off,soft_penalty,soft,200.0,True,90.07711562108182,1.9700000000000015,target_reached,89.99999999971945,nan,nan,0,66,0.0,nan,nan,nan,nan,nan,69,0.9908884848349083,5.9045350889246775,8.332585285676599,21,0.03147157919580895,0.3193133443107155,0.472177078601661,0,0.0,0.0,0.0,0,0,3.8527677536791773,8.52042398041967,0.2028500649195839,34.03141599998344
alpha200_omega0,noise_bias,off,off,soft_penalty,soft,200.0,True,90.12817354620306,1.8900000000000015,target_reached,89.99999999971945,nan,nan,0,63,0.0,nan,nan,nan,nan,nan,72,1.1475535896496232,5.647811314554774,6.796319889508748,25,0.02283104256986217,0.20353904521671282,0.44796378434767625,0,0.0,0.0,0.0,0,0,4.120231800315714,8.127035660368447,0.2070678338980057,32.31556604197249
fixed_rate_30,clean,fixed_rate,off,off,soft,1.0,False,87.35342130434347,nan,max_time,89.99999999971945,30.0,30.0,0,267,0.0,nan,nan,nan,nan,nan,233,0.877212586653055,4.872640940743491,26.256584185823307,54,0.0321371213093056,0.13001614378334717,1.080966064375829,0,0.0,0.0,0.0,0,0,3.0477095592072523,8.273601945835697,0.12034156382024062,137.72267804096919
fixed_rate_30,noise,fixed_rate,off,off,soft,1.0,True,90.36799814474696,5.049999999999937,target_reached,89.99999999971945,30.0,30.0,0,169,0.0,nan,nan,nan,nan,nan,224,1.5155071533714142,5.956147713840054,27.659010229254058,41,0.04565929793635317,0.4498216620254859,0.9776733008255751,0,0.0,0.0,0.0,0,0,4.462158313300831,8.194039363518351,0.1978214020856347,87.07165433303453
fixed_rate_30,noise_bias,fixed_rate,off,off,soft,1.0,True,90.03895732295763,7.569999999999883,target_reached,89.99999999971945,30.0,30.0,0,253,0.0,nan,nan,nan,nan,nan,237,1.1183544623938855,4.672715315253609,31.483144244973317,51,0.03200853780224604,0.12133738896942481,0.9778866780507085,0,0.0,0.0,0.0,0,0,3.3097308369941345,8.295020355154218,0.16022930135664967,129.57369529095013
gatekeeper_H3,clean,off,candidate_select,off,soft,1.0,True,90.08033802617064,2.3699999999999934,target_reached,89.99999999971945,nan,nan,0,79,0.0,nan,nan,nan,nan,nan,104,1.06910400859671,5.0381177268199915,6.602088806369869,17,0.004854786228215772,0.028135788382646007,0.14350631974733097,0,0.0,0.0,0.0,0,0,4.695884452926588,8.02339084473242,0.2453402427993283,40.327582916943356
gatekeeper_H3,noise,off,candidate_select,off,soft,1.0,True,90.37950910346697,2.429999999999992,target_reached,89.99999999971945,nan,nan,0,81,0.0,nan,nan,nan,nan,nan,116,1.0520489267143407,4.432428718248185,6.649434657182059,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,5.086977807091006,7.809126125914313,0.26309693082150176,41.43158058298286
gatekeeper_H3,noise_bias,off,candidate_select,off,soft,1.0,True,90.22018250573439,4.149999999999956,target_reached,89.99999999971945,nan,nan,0,139,0.0,nan,nan,nan,nan,nan,228,1.5475464081154466,5.926894360183454,15.030734346494182,8,0.0007876566475011956,0.0,0.07918466656904144,0,0.0,0.0,0.0,0,0,5.0804316434444505,8.795053219666418,0.3089865848724882,70.45886691601481
safety_aware_governor,clean,safety_aware,off,off,soft,1.0,False,-1.2332349597792696,nan,max_time,61.025493541569865,6.760299625468165,45.0,222,267,0.8314606741573034,18.4834347300245,0.9337526592962357,1.7647450589151716,0.04434972921384439,0.10043419641706217,327,1.064176560940058,4.499047225000044,26.256584185823307,36,0.031881163947220334,0.0,1.109182545243624,0,0.0,0.0,0.0,0,0,6.082747018451685,7.7311293958539835,0.22273119758030954,137.64322016597725
safety_aware_governor,noise,safety_aware,off,off,soft,1.0,False,-9.124848625194991,nan,max_time,51.575493541569855,5.580524344569288,45.0,232,267,0.8689138576779026,36.83820801184372,1.691165049017213,3.818956041011862,0.12077960944753574,0.22787926937460537,439,2.927113440907421,16.922818863535305,41.74938806989655,150,0.15529722916674363,1.2133928640112033,2.4516828148525613,0,0.0,0.0,0.0,0,0,6.011723151642725,11.90315011501185,0.27047195478832525,136.5209153329488
safety_aware_governor,noise_bias,safety_aware,off,off,soft,1.0,False,-5.872164314609603,nan,max_time,56.075493541569855,6.142322097378277,45.0,225,267,0.8426966292134831,18.58477006160397,0.9357671549562219,1.779459738260395,0.04544194591063563,0.10259009118659869,311,1.0126580710664608,4.329933871633521,26.272971414941438,37,0.032988092504341586,0.0,1.2045325344902216,0,0.0,0.0,0.0,0,0,6.035800957746875,7.605680754299324,0.21852673569682626,137.98293233301956
