method,diagnostic_family,condition,target_reached,final_theta_deg,T_reach,done_reason,alpha_limit,alpha_abs_mean,alpha_abs_p95,alpha_abs_p99,alpha_abs_max,alpha_abs_clipped_max_excluding_top1,alpha_violation_count,alpha_mean_severity,alpha_p95_severity,alpha_p99_severity,alpha_max_severity,alpha_clipped_max_excluding_top1,alpha_violation_duration_s,alpha_integrated_violation,early_alpha_mean_severity,early_alpha_p95_severity,early_alpha_p99_severity,early_alpha_max_severity,early_alpha_violation_duration_s,early_alpha_integrated_violation,late_alpha_mean_severity,late_alpha_p95_severity,late_alpha_p99_severity,late_alpha_max_severity,late_alpha_violation_duration_s,late_alpha_integrated_violation,omega_p95_severity,omega_max_severity,mean_action_magnitude,max_action_magnitude,action_smoothness,w_theta,w_terminal_theta,solver_safety_mode,alpha_soft_weight,max_time,max_steps,runtime_s,notes
default_task,default_task,clean,True,90.14631852620893,2.06,target_reached,3.0,2.9473188310890683,8.190370737879354,9.01761031028863,9.437799872804876,9.406885809845965,84,0.9707977436361845,5.190370737879354,6.017610310288631,6.4377998728048755,6.406885809845965,0.84,2.009551329326902,2.3277823595778586,5.722260329750633,6.21700491850485,6.406885809845965,0.38,1.1638911797889295,0.5386370379222754,3.406493657762725,5.766188197411318,6.4377998728048755,0.46,0.8456601495379724,0.2095827413663774,0.4265414427484995,3.9476771941154825,7.953676678512168,0.20497280707735124,90.0,520.0,off,1.0,8.0,1200,35.20655224999973,"current target, current max_time/max_steps, current alpha logging"
default_task,default_task,noise,True,90.21661702349557,1.8000000000000014,target_reached,3.0,2.8672487058432,7.652838501469261,9.990984807934064,10.694412413161114,10.289482274530659,66,1.0121832361354404,4.652838501469261,6.990984807934064,7.694412413161114,7.289482274530659,0.66,1.832051657405147,2.250683714006854,6.333900037350524,7.49599664523219,7.694412413161114,0.34,1.125341857003427,0.5394731300776489,3.407250196065217,5.589799645351683,6.1695087941284115,0.32,0.7067098004017199,0.2657679427625952,0.44323048717652824,4.135895989672286,7.839479180319609,0.2065864296509824,90.0,520.0,off,1.0,8.0,1200,31.170362542001385,"current target, current max_time/max_steps, current alpha logging"
default_task,default_task,noise_bias,True,90.01365991496137,2.1899999999999973,target_reached,3.0,3.1156252226018357,7.4539534690138245,10.38577491127041,10.789745762859031,10.428684486058454,90,1.0417673384874,4.4539534690138245,7.385774911270411,7.789745762859031,7.428684486058454,0.9,2.29188814467228,2.784654421246236,7.3499753466844915,7.612825737226748,7.789745762859031,0.36,1.392327210623118,0.5291534906171543,3.341909183907026,4.512357547073976,4.822466166516734,0.54,0.8995609340491624,0.20869699709417136,0.44958339026767513,3.8927163390804527,8.232650339736571,0.2055945477809949,90.0,520.0,off,1.0,8.0,1200,37.7323142919995,"current target, current max_time/max_steps, current alpha logging"
relaxed_time,relaxed_time,clean,True,90.14631852620893,2.06,target_reached,3.0,2.9473188310890683,8.190370737879354,9.01761031028863,9.437799872804876,9.406885809845965,84,0.9707977436361845,5.190370737879354,6.017610310288631,6.4377998728048755,6.406885809845965,0.84,2.009551329326902,2.3277823595778586,5.722260329750633,6.21700491850485,6.406885809845965,0.38,1.1638911797889295,0.5386370379222754,3.406493657762725,5.766188197411318,6.4377998728048755,0.46,0.8456601495379724,0.2095827413663774,0.4265414427484995,3.9476771941154825,7.953676678512168,0.20497280707735124,90.0,520.0,off,1.0,16.0,2400,35.732948957998815,max_time and max_steps doubled; target and controller weights unchanged
relaxed_time,relaxed_time,noise,True,90.21661702349557,1.8000000000000014,target_reached,3.0,2.8672487058432,7.652838501469261,9.990984807934064,10.694412413161114,10.289482274530659,66,1.0121832361354404,4.652838501469261,6.990984807934064,7.694412413161114,7.289482274530659,0.66,1.832051657405147,2.250683714006854,6.333900037350524,7.49599664523219,7.694412413161114,0.34,1.125341857003427,0.5394731300776489,3.407250196065217,5.589799645351683,6.1695087941284115,0.32,0.7067098004017199,0.2657679427625952,0.44323048717652824,4.135895989672286,7.839479180319609,0.2065864296509824,90.0,520.0,off,1.0,16.0,2400,31.178555541000605,max_time and max_steps doubled; target and controller weights unchanged
relaxed_time,relaxed_time,noise_bias,True,90.01365991496137,2.1899999999999973,target_reached,3.0,3.1156252226018357,7.4539534690138245,10.38577491127041,10.789745762859031,10.428684486058454,90,1.0417673384874,4.4539534690138245,7.385774911270411,7.789745762859031,7.428684486058454,0.9,2.29188814467228,2.784654421246236,7.3499753466844915,7.612825737226748,7.789745762859031,0.36,1.392327210623118,0.5291534906171543,3.341909183907026,4.512357547073976,4.822466166516734,0.54,0.8995609340491624,0.20869699709417136,0.44958339026767513,3.8927163390804527,8.232650339736571,0.2055945477809949,90.0,520.0,off,1.0,16.0,2400,37.78563433300042,max_time and max_steps doubled; target and controller weights unchanged
lower_terminal_urgency,lower_terminal_urgency,clean,True,90.14631852620893,2.06,target_reached,3.0,2.9473188310890683,8.190370737879354,9.01761031028863,9.437799872804876,9.406885809845965,84,0.9707977436361845,5.190370737879354,6.017610310288631,6.4377998728048755,6.406885809845965,0.84,2.009551329326902,2.3277823595778586,5.722260329750633,6.21700491850485,6.406885809845965,0.38,1.1638911797889295,0.5386370379222754,3.406493657762725,5.766188197411318,6.4377998728048755,0.46,0.8456601495379724,0.2095827413663774,0.4265414427484995,3.9476771941154825,7.953676678512168,0.20497280707735124,45.0,180.0,off,1.0,8.0,1200,35.640895333001026,"single explicit tracking-weight reduction: w_theta=45, w_terminal_theta=180"
lower_terminal_urgency,lower_terminal_urgency,noise,True,90.21661702349557,1.8000000000000014,target_reached,3.0,2.8672487058432,7.652838501469261,9.990984807934064,10.694412413161114,10.289482274530659,66,1.0121832361354404,4.652838501469261,6.990984807934064,7.694412413161114,7.289482274530659,0.66,1.832051657405147,2.250683714006854,6.333900037350524,7.49599664523219,7.694412413161114,0.34,1.125341857003427,0.5394731300776489,3.407250196065217,5.589799645351683,6.1695087941284115,0.32,0.7067098004017199,0.2657679427625952,0.44323048717652824,4.135895989672286,7.839479180319609,0.2065864296509824,45.0,180.0,off,1.0,8.0,1200,31.07532566700138,"single explicit tracking-weight reduction: w_theta=45, w_terminal_theta=180"
lower_terminal_urgency,lower_terminal_urgency,noise_bias,True,90.01365991496137,2.1899999999999973,target_reached,3.0,3.1156252226018357,7.4539534690138245,10.38577491127041,10.789745762859031,10.428684486058454,90,1.0417673384874,4.4539534690138245,7.385774911270411,7.789745762859031,7.428684486058454,0.9,2.29188814467228,2.784654421246236,7.3499753466844915,7.612825737226748,7.789745762859031,0.36,1.392327210623118,0.5291534906171543,3.341909183907026,4.512357547073976,4.822466166516734,0.54,0.8995609340491624,0.20869699709417136,0.44958339026767513,3.8927163390804527,8.232650339736571,0.2055945477809949,45.0,180.0,off,1.0,8.0,1200,37.697748708998915,"single explicit tracking-weight reduction: w_theta=45, w_terminal_theta=180"
alpha100_eval,optional_soft_alpha_eval,clean,True,90.01330081092338,1.9800000000000015,target_reached,3.0,2.904847712022948,9.083357683682724,10.79039623468245,10.896744286389515,10.83618259364576,64,0.9857485354022764,6.083357683682723,7.79039623468245,7.896744286389515,7.836182593645759,0.64,1.96163958545053,2.4210228708615484,7.380122884473897,7.867069056945074,7.896744286389515,0.33,1.2105114354307742,0.5041128523622522,3.6014174636325,6.04904915966891,6.594617418330243,0.31,0.7511281500197557,0.3469592700227373,0.480062211413689,3.7404367292113716,8.465669052466604,0.20044955850419865,90.0,520.0,soft_penalty,100.0,8.0,1200,34.04157070800102,optional re-evaluation of existing alpha100_omega0 using Stage 8C alpha metrics
alpha100_eval,optional_soft_alpha_eval,noise,True,90.12119185770305,1.9300000000000015,target_reached,3.0,3.1371062276817616,8.242512594040663,11.20020958351635,11.332585279924945,11.256828345510494,81,1.0773274307492755,5.242512594040663,8.20020958351635,8.332585279924945,8.256828345510494,0.81,2.0900152156535943,2.308938182309169,7.528509626811423,8.295464382061864,8.332585279924945,0.31,1.1544690911545845,0.649684808679868,4.12656351110688,4.937505103417291,5.558313750144187,0.5,0.9355461244990099,0.3267617354998096,0.47217706960978867,4.013675978787356,8.520423978842475,0.22639274525786146,90.0,520.0,soft_penalty,100.0,8.0,1200,33.20792116699886,optional re-evaluation of existing alpha100_omega0 using Stage 8C alpha metrics
alpha100_eval,optional_soft_alpha_eval,noise_bias,True,90.25357110919407,1.8900000000000015,target_reached,3.0,2.792269641553722,7.542409150657966,11.586772153929637,11.785466113021581,11.670823060059531,64,0.9359740135066569,4.542409150657966,8.586772153929637,8.785466113021581,8.670823060059531,0.64,1.7783506256626482,2.172466530969129,7.557774169870373,8.729291017070176,8.785466113021581,0.33,1.0862332654845646,0.4943695429843453,3.534452888726545,6.852407578246429,7.496770469771565,0.31,0.6921173601780835,0.3113403373238287,0.44940348563491606,3.9443203725638276,8.562087294258037,0.19965172347902807,90.0,520.0,soft_penalty,100.0,8.0,1200,31.924993042001006,optional re-evaluation of existing alpha100_omega0 using Stage 8C alpha metrics
alpha200_eval,optional_soft_alpha_eval,clean,True,90.00098337303204,3.139999999999977,target_reached,3.0,1.9471182091897212,7.1734507206065246,10.432413387152993,10.896744286389515,10.83618259364576,73,0.6460521111996569,4.1734507206065246,7.432413387152994,7.896744286389515,7.836182593645759,0.73,2.0350641502789193,2.4210228708615484,7.380122884473897,7.867069056945074,7.896744286389515,0.33,1.2105114354307742,0.31115196786722454,2.443301189794852,5.06103698797846,7.502848975882584,0.4,0.8245527148481451,0.20220498436934536,0.480062211413689,2.696212978282421,8.465669052466604,0.12631877022118357,90.0,520.0,soft_penalty,200.0,8.0,1200,54.01988325000093,optional re-evaluation of existing alpha200_omega0 using Stage 8C alpha metrics
alpha200_eval,optional_soft_alpha_eval,noise,True,90.07711562108182,1.9700000000000015,target_reached,3.0,2.9651520043277038,8.904535088924678,11.19777438067407,11.332585285676599,11.256828355323956,69,0.9908884848349083,5.9045350889246775,8.19777438067407,8.332585285676599,8.256828355323956,0.6900000000000001,1.9619591999731185,2.3089381993570326,7.528509649977106,8.295464389803804,8.332585285676599,0.31,1.1544690996785165,0.5456014191179742,3.7088196970732787,6.286563737664795,6.9861753738623715,0.38,0.8074901002946018,0.3193133443107155,0.472177078601661,3.8527677536791773,8.52042398041967,0.2028500649195839,90.0,520.0,soft_penalty,200.0,8.0,1200,34.023200708999866,optional re-evaluation of existing alpha200_omega0 using Stage 8C alpha metrics
alpha200_eval,optional_soft_alpha_eval,noise_bias,True,90.12817354620306,1.8900000000000015,target_reached,3.0,3.219926570225033,8.647811314554774,9.285073491317638,9.796319889508748,9.476732015478005,72,1.1475535896496232,5.647811314554774,6.285073491317639,6.796319889508748,6.476732015478005,0.72,2.180351820334284,2.9156690925321134,6.0378076196868316,6.639721831233683,6.796319889508748,0.33,1.4578345462660567,0.516083767191591,3.9138436210643883,5.59917256584348,6.261385359118046,0.39,0.7225172740682274,0.20353904521671282,0.44796378434767625,4.120231800315714,8.127035660368447,0.2070678338980057,90.0,520.0,soft_penalty,200.0,8.0,1200,32.22666158300126,optional re-evaluation of existing alpha200_omega0 using Stage 8C alpha metrics
