method,condition,n,m_relative_error_mean_mean,inverse_m_rmse_mean,state_rmse_mean,one_step_state_prediction_rmse_mean,five_step_state_prediction_rmse_mean,ten_step_state_prediction_rmse_mean,predicted_alpha_rmse_mean,parameter_only_alpha_rmse_true_state_mean,parameter_update_total_variation_mean,parameter_bound_hit_rate_mean,estimator_failure_rate_mean,solve_time_p50_s_mean,solve_time_p95_s_mean,solve_time_max_s_mean,jacobian_condition_p50_mean,jacobian_condition_p95_mean,lambda_std_mean_mean,process_residual_rmse_mean_mean,process_residual_rmse_p95_mean,process_residual_max_abs_mean,initialization_probe_relative_lambda_delta_mean
ukf_nls_current,clean,3,0.021081229739096857,0.043625918062020215,0.011247592753940433,0.02159109238302528,0.08451014690301627,0.16819522638265552,1.6472575756541465,1.7315707708995465,276.48602959722405,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ukf_nls_current,initial_theta_offset,3,0.05375887989638028,0.06646769784140355,0.030070354177072964,0.03846945459693739,0.09204918512113726,0.16756782897476785,1.5526497670465915,1.5950554492885527,268.62165712879477,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ukf_nls_current,noise,3,0.03206901416006508,0.0726938644512778,0.02948944373252588,0.03903913773378657,0.09696657833859329,0.1777273408674729,1.6461741083428658,1.7456559710322137,304.9972658543259,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ukf_nls_current,noise_bias,3,0.022224601705324924,0.05040719027073437,0.025993460906571893,0.03487429211165424,0.09480714045898504,0.1781888843165026,1.710792656905774,1.7763106987793018,271.7887433382527,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ukf_nls_current,stronger_noise,3,0.02893504608067463,0.060722813721830866,0.05157263043260196,0.05916447005836271,0.10963398891239255,0.18625131065138092,1.915203653893217,1.9478711918254994,417.84074239827595,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ukf_nls_current,mass_mismatch,3,0.14144604907140448,0.1543110732985115,0.04291135590357132,0.06087844563951816,0.16906766535620646,0.35199382342832847,2.7752107490369444,2.8773749765297976,434.18418427760963,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ukf_nls_current,parameter_mismatch_low_k,3,0.036138169552191415,0.05392873470659549,0.018188539218552645,0.030251172437532628,0.09058124115660095,0.1702647172715929,1.5950210496512487,1.7185754952734502,233.37446492040263,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ukf_nls_current,parameter_mismatch_high_k,3,0.009003174552598454,0.040098647740193276,0.016133109220871748,0.02935261531155829,0.09371192202256161,0.1783179069109927,1.6749259579845186,1.7182799205606294,168.07921103438818,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
single_shooting_mhe_inverse_m,clean,3,0.05626609484305831,0.09726060694475798,0.08400707410583443,0.0969869333046237,0.1526529745786382,0.2302069548251632,1.5264020701253564,1.7120825157949298,0.488079988048342,0.0,0.0,nan,0.20543631933348175,nan,nan,429.35432518981605,nan,nan,nan,nan,nan
single_shooting_mhe_inverse_m,initial_theta_offset,3,0.05575607812228669,0.09644120057023192,0.07779100437563378,0.08962707519597357,0.1398146584974202,0.20719787171533252,1.4031949911113724,1.5858332720522006,0.48872182405038284,0.0,0.0,nan,0.20716626929934137,nan,nan,428.5700431113531,nan,nan,nan,nan,nan
single_shooting_mhe_inverse_m,noise,3,0.05728585065405367,0.09829530034708428,0.08319629197074374,0.09582099613686085,0.1503088393014862,0.22551461904022765,1.5177093016554082,1.6988298253680156,0.5100182537687497,0.0,0.0,nan,0.2063249210633027,nan,nan,428.83303215510654,nan,nan,nan,nan,nan
single_shooting_mhe_inverse_m,noise_bias,3,0.05956571196362146,0.11831269702443148,0.08517814628898483,0.0977603646793126,0.1527567136320982,0.22999706359039665,1.569873306822713,1.7402955848099644,0.6096346510142093,0.0,0.0,nan,0.2107048806644646,nan,nan,426.8552131817111,nan,nan,nan,nan,nan
single_shooting_mhe_inverse_m,stronger_noise,3,0.04602630458107814,0.07565630178272557,0.08799930810719352,0.09962124993530823,0.1518931595734391,0.22594640605553493,1.7444789782424779,1.9033419573934287,0.6580845712921587,0.0,0.0,nan,0.2053460321488577,nan,nan,427.3060403038212,nan,nan,nan,nan,nan
single_shooting_mhe_inverse_m,mass_mismatch,3,0.09732406873189203,0.16116652179728277,0.13540923518883016,0.15579905927992677,0.2536096162443028,0.42886453841396976,2.4344682868243535,2.822493282115803,0.7928487740627754,0.0,0.0,nan,0.20191185741714435,nan,nan,419.1401535934446,nan,nan,nan,nan,nan
single_shooting_mhe_inverse_m,parameter_mismatch_low_k,3,0.1246877654612541,0.2558789179624915,0.08300662582956801,0.09533937102738914,0.14845871459259882,0.22193932990350237,1.4767786168887003,1.7167132673846786,0.7318733628743207,0.0,0.0,nan,0.21157490844974136,nan,nan,405.2581255250982,nan,nan,nan,nan,nan
single_shooting_mhe_inverse_m,parameter_mismatch_high_k,3,0.0718231613352878,0.0936978658200218,0.08542360357701206,0.09870042292127586,0.1557204391775231,0.23430411506355975,1.5567476124659683,1.7398746608140163,0.646302535446312,0.0,0.0,nan,0.23817108682900037,nan,nan,463.65320972206973,nan,nan,nan,nan,nan
multiple_shooting_mhe_inverse_m,clean,3,0.04208176484371548,0.0875780959546844,3.2055880383144175,3.228298706388624,3.3159279999029088,3.4147736380395224,12.339569640046564,1.710355628222078,0.4845680274877564,0.0,0.08201892744479496,2.2655514726648107,2.357725361332996,3.694644638667038,1541.4168794110694,1756.9602248078565,0.005780508735159231,3.4038406510584716e-06,9.354945711772593e-06,2.803940085427392e-05,nan
multiple_shooting_mhe_inverse_m,initial_theta_offset,3,0.0508351723067982,0.09141555811148579,1.08491623998335,1.1306656546342406,1.3183535028565188,1.5588118787855818,4.578756957306766,1.5850715568089788,0.4856328802404432,0.0,0.07122507122507123,2.272329652997238,2.3556052733372783,3.039962458332108,1574.8639889966735,1981.6791880117323,0.002761302771075715,4.164288582916806e-06,1.1251307321639463e-05,3.3225452812923884e-05,nan
multiple_shooting_mhe_inverse_m,noise,3,0.10675944613040411,0.13915381093348542,7.721609620754883,7.799222044695356,8.120787118188662,8.524712012557144,14.40782089935068,5.643585896855844,0.4242875023514891,0.0,0.09286059135001734,2.268455138667681,2.3512543765677645,2.9487430139949233,1654.7495640781374,1902.7997056909228,0.015331868805709914,5.771060526997287e-06,8.195200706519762e-06,2.9167202150200595e-05,0.00010114618407000552
multiple_shooting_mhe_inverse_m,noise_bias,3,0.052132126002406555,0.10438045010242165,3.187729337669721,3.210540423911604,3.301513176783897,3.413339679163767,12.096987420441858,2.5301360393769645,0.5573137589681051,0.0,0.08661098842839053,2.2644739515017136,2.330515994970483,3.4331779170024674,1439.585289817839,1614.4684960114535,0.013488832380727534,1.190150145774758e-05,2.096912212901061e-05,6.256284257846745e-05,0.0008070733591003768
multiple_shooting_mhe_inverse_m,stronger_noise,3,0.09152968737280025,0.11401298020864052,7.654008079736605,7.701583126919151,7.890833121163998,8.130533961434631,16.595069837838327,4.059725086393841,0.40175086635666535,0.0,0.09317653417185462,2.2761496595000303,2.3205721926288487,3.3583734030010723,1458.177644353574,1557.1913951305607,0.015052269857562828,4.563007296845151e-06,5.707459683868978e-06,2.4751271344431818e-05,nan
multiple_shooting_mhe_inverse_m,mass_mismatch,3,0.07868678416218507,0.14869154375007942,2.047984225747321,2.060294550061738,2.10785900400618,2.1791214266895396,6.684065914617345,2.8211325072292386,0.7897418296627393,0.0,0.0659536541889483,2.2657984301671,2.327758906082939,2.8978635139986486,1526.612685019322,1829.2047907642275,0.002054690232079056,1.94481373473579e-06,9.105760628744726e-06,2.7232696340195872e-05,nan
multiple_shooting_mhe_inverse_m,parameter_mismatch_low_k,3,0.05260999942201916,0.0832594009854096,2.6400145582018624,2.656965645684306,2.7173789818674243,2.787025241155298,7.787076191184279,1.7064613868844287,0.40790687668510034,0.0,0.09064327485380115,2.273344332999841,2.376001607564103,4.174668652995024,1310.7162855436331,1658.023812135183,0.005156480215144274,8.337764608842346e-06,2.4316804495598678e-05,7.994115591825057e-05,nan
multiple_shooting_mhe_inverse_m,parameter_mismatch_high_k,3,0.007110487367258985,0.039840101390794386,4.0093850338004735,4.0169996300601545,4.048252851224709,4.088038723030331,15.904293326191672,1.738257096657626,0.25129909570136333,0.0,0.07920792079207921,2.262167180667651,2.313793667834155,4.1623693333385745,1451.441086855982,2161.972747736402,0.0003563568523637541,2.1228679804637392e-07,2.737287036317398e-07,1.0032241714030832e-06,nan
