method,input_source,condition,n,one_step_state_prediction_rmse_mean,five_step_state_prediction_rmse_mean,ten_step_state_prediction_rmse_mean,predicted_omega_rmse_mean,predicted_alpha_rmse_mean,predicted_alpha_p95_error_mean,parameter_update_total_variation_mean,maximum_single_update_mean,parameter_bound_hit_rate_mean,optimizer_failure_count_mean,low_excitation_window_fraction_mean,locally_distinguishable_fraction_mean,m_absolute_error_mean_mean,m_relative_error_mean_mean,m_rmse_mean,m_median_error_mean,m_p95_error_mean,m_maximum_error_mean,m_planner_time_error_mean,m_final_error_mean,m_fraction_inside_10pct_mean,predicted_alpha_rmse_if_m_oracle_mean,predicted_alpha_error_reduction_from_m_mean,k_absolute_error_mean_mean,k_relative_error_mean_mean,k_rmse_mean,k_median_error_mean,k_p95_error_mean,k_maximum_error_mean,k_planner_time_error_mean,k_final_error_mean,k_fraction_inside_10pct_mean,predicted_alpha_rmse_if_k_oracle_mean,predicted_alpha_error_reduction_from_k_mean,b_r_absolute_error_mean_mean,b_r_relative_error_mean_mean,b_r_rmse_mean,b_r_median_error_mean,b_r_p95_error_mean,b_r_maximum_error_mean,b_r_planner_time_error_mean,b_r_final_error_mean,b_r_fraction_inside_10pct_mean,predicted_alpha_rmse_if_b_r_oracle_mean,predicted_alpha_error_reduction_from_b_r_mean
windowed_nls_current,ukf_filtered,clean,3,0.030055700450055498,0.09934749422379108,0.1671747256845981,0.017315707708995466,1.7315707708995465,0.7848801446879272,276.48602959722405,50.18535338111152,0.0,0.0,0.0,1.0,0.02529747568691622,0.021081229739096857,0.05347280122366146,0.005535377383996565,0.0822398549040404,0.25,0.25,0.0822398549040404,0.9684542586750787,0.3399794242143996,1.391591346685147,131.84193811640407,0.2929820847031202,138.8041578067848,112.55066079618581,222.50152972628408,226.11494908888668,90.0,86.5272334027174,0.0,1.6845014819864028,0.04706928891314366,6.115356023976755,0.33974200133204197,6.39760689227185,6.645576805748256,7.792118164706335,7.793723357488129,6.0,7.667550974837951,0.0,1.712691767120661,0.018879003778885517
windowed_nls_huber,ukf_filtered,clean,3,0.032144138828569764,0.11357780338314537,0.19399079415541162,0.020350435369509343,2.0350435369509343,5.301840705364091,287.41047947975756,46.57101507542736,0.0,0.0,0.0,1.0,0.03683534202745925,0.030696118356216037,0.06690867184782308,0.009961082589222459,0.16636693260010005,0.25,0.25,0.16636693260010005,0.8832807570977917,0.3596511248284883,1.675392412122446,131.89475440615183,0.2930994542358929,139.41104180114607,110.34851036481666,214.5674265320289,215.37019260689837,90.0,62.89771352621659,0.0,1.9753190926061404,0.05972444434479396,6.714046082750483,0.3730025601528046,7.421567671176972,7.018933285219504,11.489035742801947,11.86425998696395,6.0,4.49792538109245,0.06309148264984227,2.0214784627383993,0.013565074212535055
windowed_nls_cauchy,ukf_filtered,clean,3,0.03214621835872037,0.11358626071640678,0.19400384083527963,0.0203529117627469,2.03529117627469,5.30484019807917,287.756817125189,47.64264098402659,0.0,0.0,0.0,1.0,0.03683647307157029,0.030697060892975234,0.06691187021425841,0.009960238368562413,0.166365959293447,0.25,0.25,0.166365959293447,0.8832807570977917,0.3595986507852715,1.6756925254894182,132.01727653684142,0.29337172563742536,139.57036278894816,110.33148173958546,214.7567940432389,215.5681040214746,90.0,62.89637709280271,0.0,1.9755387772489819,0.05975239902570806,6.688616638499474,0.3715898132499708,7.4011117633840895,6.9920803866452275,11.494158201144183,11.866843068655461,6.0,4.458152747303927,0.06309148264984227,2.021756743345652,0.013534432929037887
windowed_nls_current,ukf_filtered,initial_theta_offset,3,0.022210701567699585,0.08149177424750316,0.15329339941266523,0.015950554492885526,1.5950554492885527,1.2500050429735847,268.62165712879477,43.14085294221241,0.0,0.0,0.05714285714285714,1.0,0.06451065587565634,0.05375887989638028,0.10091251232751138,0.023449185851336152,0.23708277751052065,0.25,0.25,0.2448869898656405,0.7692307692307693,0.20378016127879525,1.3912752880097574,85.95415076089525,0.19100922391310052,99.53766027194388,77.14853986808572,173.13708188942599,178.84486912060572,90.0,0.6888963382360203,0.23076923076923075,1.6024086142212555,-0.0073531649327027715,2.4038469741342,0.1335470541185667,3.1029520332415697,1.4402587008796175,5.920047532444567,6.0,6.0,0.6831287694105121,0.5726495726495726,1.6024471486487908,-0.007391699360238091
windowed_nls_huber,ukf_filtered,initial_theta_offset,3,0.024580934035498183,0.09564227148882655,0.17985464256657782,0.018849526194127438,1.8849526194127442,4.995048649227449,513.4077285089897,103.77051662444849,0.0,0.0,0.05714285714285714,1.0,0.0861003732676463,0.07175031105637195,0.14687428587208315,0.027023555053900195,0.3919639781565658,0.5515131641799578,0.25,0.5515131641799578,0.7692307692307693,0.21852691266425253,1.6664257067484913,100.93231520259637,0.2242940337835475,120.08506116940698,76.62373618415927,246.22513435433885,251.26685095229516,90.0,94.92461854131875,0.14245014245014245,1.9050636320334202,-0.02011101262067605,6.0880125645367995,0.33822292025204437,8.883529217492502,2.648032008862195,21.059983042076333,21.772334457264833,6.0,6.797104364890657,0.31339031339031337,1.8836476244713303,0.001304994941413895
windowed_nls_cauchy,ukf_filtered,initial_theta_offset,3,0.024562043086278917,0.09552711348583205,0.17963302048399502,0.018827027969639767,1.8827027969639767,4.975702141375889,513.4376209727741,102.22824327385653,0.0,0.0,0.05714285714285714,1.0,0.08610436604108158,0.07175363836756796,0.1469661236124101,0.02699178976825789,0.392149102976719,0.5531485085629828,0.25,0.5531485085629828,0.7692307692307693,0.21834704110819647,1.6643557558557802,100.85735372612805,0.224127452724729,119.9365644737677,76.62553988638234,245.44390703279512,251.0184514662552,90.0,95.43391090321416,0.14245014245014245,1.9025133718564913,-0.019810574892514587,6.121666455586289,0.3400925808659048,8.94439553311943,2.6586266293270597,21.25782094774857,22.003237659560984,6.0,6.830538071008004,0.31339031339031337,1.881441169935117,0.0012616270288596798
windowed_nls_current,ukf_filtered,noise,3,0.0321052670775959,0.09546414329204811,0.16737386381876865,0.017456559710322138,1.7456559710322137,1.6829594605957678,304.99726585432603,50.45108029793787,0.0,0.0,0.0,1.0,0.038482816992078096,0.03206901416006508,0.08235106254283368,0.005551583205470297,0.23164718534340586,0.3395531890874884,0.25,0.2920741243868668,0.8884050565822972,0.37172650678223557,1.3739294642499782,166.42172401181472,0.36982605335958824,169.57176680733428,157.07457759638308,226.90630610712267,241.3114268052675,90.0,220.2397884680972,0.0,1.6903848142743494,0.05527115675786409,3.8630240878780433,0.21461244932655799,4.679760528090349,3.1017882996157695,9.10317237444298,9.598395682164238,6.0,9.596989298117052,0.2851689357228129,1.7360660358755824,0.009589935156631238
windowed_nls_huber,ukf_filtered,noise,3,0.03278767842538892,0.10692878219705178,0.1945582929944786,0.0205550482381321,2.05550482381321,5.447139068950172,325.8286768593795,80.5408881997836,0.0,0.0,0.0,1.0,0.0382876703328664,0.03190639194405533,0.0779971099349179,0.007778968080472071,0.21797021204247768,0.33299519705766273,0.25,0.2592730609704576,0.878334563128118,0.38313726021902333,1.6723675635941866,169.03487533564453,0.37563305630143223,172.17508981999345,154.536918251279,222.58362978276156,238.55611620652505,90.0,213.5344103645755,0.0,1.990049220060482,0.06545560375272792,9.793710461180465,0.5440950256211369,13.14857274756852,6.106780230962795,26.18623855818122,26.593119279025462,6.0,24.333120442913387,0.15279971976850124,2.0502977401691322,0.005207083644077848
windowed_nls_cauchy,ukf_filtered,noise,3,0.03278981810494292,0.10692195351572413,0.19452127433045197,0.020553953881262188,2.0553953881262186,5.4669006965610505,323.61217170276024,79.85912452552525,0.0,0.0,0.0,1.0,0.03801082974407236,0.03167569145339364,0.07730120474793871,0.007475377887800727,0.21374202284905033,0.3273579862362074,0.25,0.25568421435406374,0.878334563128118,0.38341942393558553,1.671975964190633,168.99963064242547,0.3755547347609454,172.12501238881228,155.1611894745486,222.40318899786564,237.5664610361257,90.0,212.59113820954792,0.0,1.9893160384575281,0.06607934966869038,9.83683498839001,0.5464908326883339,13.16568973340292,6.133027988831789,26.200557986552354,26.600278992950198,6.0,24.643020733473687,0.15279971976850124,2.0503202171589376,0.00507517096728094
windowed_nls_current,ukf_filtered,noise_bias,3,0.031042173138938506,0.09528260420467068,0.1708756773268089,0.017763106987793018,1.7763106987793018,1.5516569439742665,271.7887433382527,65.92923901561528,0.0,0.0,0.0,1.0,0.02666952204638991,0.022224601705324924,0.06032698974200985,0.005583875498886985,0.14751162977752608,0.2521459948746693,0.25,0.18536397786486633,0.9299336527465595,0.3602804454412405,1.4160302533380615,160.087449296799,0.3557498873262201,163.06881175124406,150.28683239284604,213.6999837395377,214.3127205583694,90.0,186.1187952796704,0.0,1.726118460276238,0.050192238503063834,4.168760033195269,0.23159777962195938,4.934779351850767,3.8249841296207983,8.938987084991343,9.747309459549905,6.0,9.747309459549905,0.22840893655988892,1.7680227682385914,0.00828793054071042
windowed_nls_huber,ukf_filtered,noise_bias,3,0.03205017688122947,0.10755757909790115,0.19845535505102152,0.02093612332154809,2.093612332154809,5.562502723525469,282.27588793195633,93.65607948389595,0.0,0.0,0.0,1.0,0.028803132311409612,0.02400261025950801,0.05992850933781221,0.007022503758870036,0.1418190598957433,0.25034061690372916,0.25,0.12759974610086292,0.917234621940052,0.3706051031974876,1.7230072289573215,160.27407268969174,0.3561646059770928,162.9871439837256,149.1293209102563,204.4034438796883,209.16522759018935,90.0,172.66395419450737,0.0,2.03159307706269,0.06201925509211866,10.387270106099566,0.5770705614499759,13.318806531963789,7.355635830355259,25.968864527433855,26.553588446266605,6.0,26.553588446266605,0.14041146908176363,2.088189881285867,0.005422450868941997
windowed_nls_cauchy,ukf_filtered,noise_bias,3,0.03205736708875301,0.10755282407157733,0.19840601904514835,0.020935015133589252,2.093501513358925,5.580116547697005,282.637133811437,94.38259168255001,0.0,0.0,0.0,1.0,0.028577880535160773,0.023814900445967315,0.05979955280259305,0.007862156709463516,0.1412412900813482,0.25,0.25,0.12678448737010764,0.917234621940052,0.3713353219806114,1.7221661913783137,160.54580109837156,0.35676844688527015,163.31210627657757,149.09238267745704,204.78456557850416,210.55292350200247,90.0,172.44550127900354,0.0,2.0307270698079463,0.06277444355097894,10.389514516090218,0.577195250893901,13.294311445019815,7.588972591673476,26.009656138335288,26.574115103302233,6.0,26.574115103302233,0.1519855431558377,2.0882038758654278,0.005297637493497653
windowed_nls_current,ukf_filtered,stronger_noise,3,0.03560042704751446,0.09600083292815524,0.16821117013011444,0.019478711918254996,1.9478711918254994,2.3310989475113786,417.84074239827584,98.81974389137277,0.0519047619047619,0.0,0.0,1.0,0.03472205529680955,0.02893504608067463,0.071151760897368,0.00934438231954123,0.1650284107775395,0.2777172665596853,0.25,0.2218500502493246,0.9034360585032696,0.4212763214946573,1.526594870330842,204.12683480044032,0.4536151884454229,207.74954736642212,191.80459965066197,265.9858460081295,273.3016312416474,90.0,237.04519957312309,0.0,1.8832422884304976,0.06462890339500198,13.298641929058087,0.7388134405032272,14.879097158455366,13.298022345793242,23.56750619316719,24.63982049704498,6.0,24.63982049704498,0.05180346161903257,1.9644758641582005,-0.01660467233270113
windowed_nls_huber,ukf_filtered,stronger_noise,3,0.03671344093994943,0.1081506364983257,0.1958060920271462,0.02169433091475352,2.1694330914753515,4.6534079020074595,402.20399797668256,94.73469575188024,0.0,0.0,0.0,1.0,0.04309856573319884,0.03591547144433237,0.07302524832539142,0.017592018715926933,0.18276338286566587,0.25,0.25,0.17861664983594439,0.8874549626143882,0.4376616815081705,1.7317714099671815,208.92905047781628,0.46428677883959185,212.33725379518296,198.83374922488917,275.78423643189893,282.44858186130995,90.0,227.64843131590644,0.0,2.0793002103231486,0.0901328811522033,17.757853581551355,0.9865474211972974,19.055694058744077,17.565434232425943,26.877337509376,26.950197248464814,6.0,26.747285397130653,0.011737089201877935,2.196427517333571,-0.026994425858219467
windowed_nls_cauchy,ukf_filtered,stronger_noise,3,0.036703856066617684,0.10796826322333218,0.19547531024246576,0.021667610587379815,2.166761058737982,4.67724663725449,399.352433040388,93.82241867697796,0.0,0.0,0.0,1.0,0.04263767429374941,0.03553139524479118,0.07245165583605018,0.01702991779372624,0.18111722856369794,0.25,0.25,0.18043867512142633,0.8808412060006315,0.4378794646309208,1.728881594107061,208.6767210236077,0.46372604671912826,212.02645110243995,199.59007614531424,274.7626083762901,281.031659135959,90.0,228.18460574347577,0.0,2.0744543431220066,0.09230671561597521,17.798627075019464,0.9888126152788592,19.077008189470423,17.55528144596207,26.86407610544029,26.928370044952118,6.0,26.903720549316645,0.011737089201877935,2.1940298263700093,-0.027268767632027496
windowed_nls_current,ukf_filtered,mass_mismatch,3,0.03426224315296176,0.14964250511836058,0.33267979032432077,0.028773749765297976,2.8773749765297976,0.6847408217368134,434.1841842776098,78.51163775025884,0.0,0.0,0.32142857142857145,1.0,0.16973525888568533,0.14144604907140448,0.2404460706544811,0.09171604848090498,0.42531248948333666,0.5499999999999999,0.5499999999999999,0.4280883275387535,0.5525846702317291,0.23537959716498233,2.641995379364815,81.26562978641647,0.18059028841425884,100.49179904453827,73.04290377990185,174.47273137441184,236.89017868595963,90.0,39.3773596967398,0.411764705882353,2.882640427109345,-0.005265450579547082,8.676850377050057,0.4820472431694475,9.021830968431363,8.042510964025958,14.26849266445572,14.923809804142827,6.0,8.043477985791757,0.017825311942959002,2.8801254354601955,-0.0027504589303979365
windowed_nls_huber,ukf_filtered,mass_mismatch,3,0.040313817435672056,0.181419491067237,0.3824137554526961,0.036044801317964316,3.6044801317964317,6.258354044732464,549.1851942322847,105.1487239863405,0.07142857142857142,0.0,0.32142857142857145,1.0,0.3039019298748473,0.25325160822903936,0.45085830448424574,0.10190463736673117,0.7999870922613616,0.7999983865323385,0.5499999999999999,0.7999983865323385,0.5169340463458111,0.23914476859992448,3.365335363196507,123.08903591204081,0.2735311909156463,134.73682843747636,144.61747577995243,223.86118595210334,236.3419318429046,90.0,151.34430940895277,0.08912655971479501,3.6346534871862617,-0.030173355389830014,14.926337579349202,0.8292409766305112,17.077167758367448,12.552178371670465,26.998970537054532,26.99987131700388,6.0,26.99987131700388,0.017825311942959002,3.5967892409355766,0.00769089086085506
windowed_nls_cauchy,ukf_filtered,mass_mismatch,3,0.0402235931860109,0.18095473415065996,0.38168307603179114,0.03594469439753037,3.5944694397530372,6.202073862279952,548.908498479526,105.18468111640009,0.07142857142857142,0.0,0.32142857142857145,1.0,0.3038677392407989,0.25322311603399905,0.4508472329021112,0.10193960008997105,0.7999871021113695,0.7999983877634177,0.5499999999999999,0.7999983877634177,0.5169340463458111,0.23860626209841254,3.3558631776546246,123.09155087977693,0.2735367797328376,134.74700829499133,144.6232793086541,225.74791778171289,236.2717247335896,90.0,151.3440077075379,0.08912655971479501,3.6243598408765436,-0.029890401123506383,14.942131302605127,0.830118405700285,17.105229881513765,12.628805672253115,26.998968971017916,26.999871121160595,6.0,26.999871121160595,0.017825311942959002,3.586355993305885,0.008113446447152395
windowed_nls_current,ukf_filtered,parameter_mismatch_low_k,3,0.04056633955269902,0.13280697398090893,0.16666048059060545,0.017185754952734503,1.7185754952734502,1.2823273679547387,233.37446492040263,30.347701114315857,0.0,0.0,0.0588235294117647,1.0,0.04336580346262969,0.036138169552191415,0.07496182312521346,0.009679854107222496,0.1549138102364902,0.25,0.25,0.1599013228237678,0.847953216374269,0.4537069974448918,1.2648684978285585,173.09636457294403,0.38465858793987556,179.39605591522874,155.32460062612512,260.9662843809045,261.68473403199744,180.0,111.79683597992823,0.0,1.6326629060057858,0.08591258926766443,9.448948556600671,0.5249415864778151,10.336594267113092,11.345494444630097,13.623894534898277,13.628808918665788,6.0,13.622983550005024,0.0,1.6952067264929374,0.02336876878051286
windowed_nls_huber,ukf_filtered,parameter_mismatch_low_k,3,0.04270288447364929,0.14989168623122387,0.19554865711489133,0.020333041130483082,2.0333041130483083,5.634274698664676,338.34088774073996,43.39706120708818,0.0,0.0,0.0588235294117647,1.0,0.07105820570482811,0.059215171420690084,0.1332685715125826,0.017135886860172755,0.3120492370686023,0.6258431605717212,0.25,0.6258431605717212,0.7894736842105262,0.48763266482163087,1.5456714482266776,167.37009165458255,0.37193353701018345,176.15484174653935,154.00937704277226,254.2598184562944,254.8655107423168,180.0,4.2556244528349225,0.03508771929824561,1.93587186171165,0.09743225133665834,10.68454408335928,0.5935857824088487,11.600277525491142,11.255859838444133,15.91187151930948,15.955935759654741,6.0,6.123188562436152,0.029239766081871343,2.009335701931368,0.02396841111694048
windowed_nls_cauchy,ukf_filtered,parameter_mismatch_low_k,3,0.04268492067780238,0.1497532872865556,0.19531630793018004,0.020310815228563373,2.0310815228563373,5.614755382217029,339.31360026472953,43.38802679962753,0.0,0.0,0.0588235294117647,1.0,0.07103862373376728,0.059198853111472716,0.13326270175805088,0.017135159072982686,0.3120842699548463,0.6258791776606809,0.25,0.6258791776606809,0.7894736842105262,0.4867486529152865,1.5443328699410508,167.61902751558594,0.37248672781241327,176.47829163343349,154.00876069753747,254.9073913335902,255.3800775001722,180.0,4.264795106619772,0.03508771929824561,1.9337210506150582,0.09736047224127908,10.558815964091291,0.5866008868939607,11.528533856652215,11.194768304282485,15.911588964825448,15.955794482412722,6.0,6.098552305614287,0.029239766081871343,2.0073541820402365,0.023727340816100728
windowed_nls_current,ukf_filtered,parameter_mismatch_high_k,3,0.01728426301955429,0.08418289424254104,0.1694087602471375,0.017182799205606294,1.7182799205606294,1.1220311989839582,168.0792110343882,45.53990199194762,0.0,0.0,0.0,1.0,0.010803809463118144,0.009003174552598454,0.045865070354189914,0.0011439769560070978,0.032991613765281924,0.25,0.25,0.005546594021436091,0.9669966996699669,0.057606722845265114,1.6606731977153644,16.371284405922715,0.03638063201316159,37.40101755858472,4.491399123915869,114.1639389991642,150.0,150.0,3.7088561467089107,0.900990099009901,1.7377015408769667,-0.019421620316337318,7.084749096693135,0.39359717203850747,7.097454449295063,6.99866465256148,7.726347679100759,7.801441959060948,6.0,6.705765271925355,0.0,1.7065248661804884,0.011755054380140795
windowed_nls_huber,ukf_filtered,parameter_mismatch_high_k,3,0.02043306825486109,0.10000444784111562,0.1989934683261073,0.0203540641050147,2.0354064105014698,5.427767308830678,167.8145389455676,61.834415486263566,0.0,0.0,0.0,1.0,0.018650708014942265,0.015542256679118552,0.05380880066638385,0.0010883343556786773,0.13577244486470907,0.25,0.25,0.011944720657786068,0.933993399339934,0.05741660681375745,1.9779898036877122,13.326692620819614,0.029614872490710254,32.954991794383034,4.369138940751554,88.20194632883613,150.0,150.0,1.346182332050887,0.933993399339934,2.057257884042451,-0.02185147354098138,6.3808483373338705,0.3544915742963261,6.777708129673171,6.64073571384228,9.485911930395691,9.547211307845469,6.0,0.12208696754491655,0.07590759075907591,2.0288383515942443,0.006568058907225449
